claim_id,family,status,claim,source,evidence_mode,readiness,measurement,result,evidence_artifacts,caveats,next_check,wandb,hf
ch02-risk-budget-threshold,count exposure,underpowered,A 12-or-fewer at-risk point total is sufficient to justify bidding.,scratch/winning42/winning42.with_figures.md:880-904; wiki/experiments/w42-bidding-risk-budget-claim-validation.md,exact static enumeration,enumeration; oracle,Compute unique exposed count points for each hand/declaration candidate.,24.477093% of candidates have <=12 exposed points; 66.971% of hands have a best static candidate with <=10 exposed points.,w42/bidding_risk_budget_claim_validation/candidate_risk_bucket_distribution.csv; w42/bidding_risk_budget_claim_validation/best_candidate_risk_points_distribution.csv,"The threshold is counted statically; no make/set, auction, or partner-help outcome is measured.",Run auction-aware make/set or forge E[Q] bidding counterfactuals.,not applicable,not applicable
ch02-duplicate-count-exposure,count exposure,supported,Repeated side exposure can double-count the same count domino unless de-duplicated.,scratch/winning42/winning42.with_figures.md:880-885; wiki/experiments/w42-bidding-risk-budget-claim-validation.md,exact static enumeration,enumeration; report-only,Compare naive side-summed exposure with unique exposed count points.,86.353972% of candidate evaluations and 97.963836% of hands have duplicate exposure under at least one candidate declaration.,w42/bidding_risk_budget_claim_validation/summary.json; w42/bidding_risk_budget_claim_validation/duplicate_overcount_points_distribution.csv,"Supports exposure arithmetic only, not an optimal bid amount.",Keep as a regression fixture for risk-budget detectors.,not applicable,not applicable
ch02-strong-trump-bad-risk-trap,count exposure,context-limited,Strong-looking trump shape can still exceed the beginner risk budget because of offs.,scratch/winning42/winning42.with_figures.md:954-994; wiki/experiments/w42-bidding-risk-budget-claim-validation.md,exact static enumeration,enumeration; oracle,Flag candidate declarations with >=4 trumps and >12 unique exposed count points.,2.927266% of candidates and 20.120773% of hands have such a candidate.,w42/bidding_risk_budget_claim_validation/summary.json; w42/bidding_risk_budget_claim_validation/strong_trump_bad_risk_points_distribution.csv,Exact static support for the trap surface; outcome value remains untested.,"Split by actual declared suit, auction pressure, and E[Q] outcome.",not applicable,not applicable
ch02-four-five-off-danger,count exposure,context-limited,Four and five offs create high count-exposure risk.,scratch/winning42/winning42.with_figures.md:810-821; wiki/experiments/w42-bidding-risk-budget-claim-validation.md,exact static enumeration,enumeration; oracle,Detect candidate declarations with a 5-4 off or equivalent high count exposure.,17.857143% of candidate evaluations and 25.0% of hands expose a 5-4-off proxy.,w42/bidding_risk_budget_claim_validation/summary.json,Prevalence and point arithmetic are measured; tactical cost is not.,Run paired bidding/play outcomes for high-off exposure buckets.,not applicable,not applicable
ch12-natural-bid-bucket-anomaly,bidding risk,underpowered,Natural bid buckets such as 30/31/35/36 can be validated from static exposed-count ceilings.,scratch/winning42/winning42.with_figures.md:1232-1238; wiki/experiments/w42-bidding-risk-budget-claim-validation.md,static proxy limitation,oracle; w42,Compute bid ceiling as 42 minus unique exposed count points.,"The static proxy emits only these ceiling values: 12, 17, 22, 27, 32, 37, 42.",w42/bidding_risk_budget_claim_validation/bid_ceiling_proxy_distribution.csv,"Auction increments, partner bids, and trick-risk modeling are missing.",Use generated auction logs or paired bidding rollouts.,not applicable,not applicable
ch02-double-side-protection,count exposure,context-limited,"A double ahead of an off reduces risk, but only for the protected side of the off.",scratch/winning42/winning42.with_figures.md:847-878; wiki/experiments/w42-bidding-risk-budget-claim-validation.md,exact static enumeration,enumeration; oracle,Count side-specific exposed points that are protected by a same-pip double.,17.751479% of side-exposure points are protected by a same-pip double.,w42/bidding_risk_budget_claim_validation/summary.json,"The current proxy does not model when the double is played, forced, or still live.",Add action-sequence and follow-pressure labels.,not applicable,not applicable
ch02-bid-only-enough,bidding risk,not-yet-tested,A bidder should bid only enough to win because excess bid amount only increases set risk.,scratch/winning42/winning42.with_figures.md:1360-1389; wiki/experiments/winning42-ch02-bidding.md,not yet measured,oracle; w42; burl,Requires auction counterfactuals comparing unnecessary bid margin with set rate and regret.,No auction-counterfactual artifact exists in the current w42 outputs.,not applicable,Static hand-risk enumeration cannot answer this auction claim.,Generate auction logs or paired bid-margin E[Q] rollouts.,not applicable,not applicable
ch09-doubles-trump-doubles-leave-native-suits,doubles/no-trump rules,supported,Under doubles-as-trump all doubles are called suit and non-doubles are not.,scratch/winning42/winning42.with_figures.md:3838-4239; wiki/experiments/w42-doubles-no-trump-claim-validation.md,deterministic ruleset predicate,ruleset; report-only,Ruleset fixture check from the doubles/no-trump validation script.,28 / 28 predicate cases passed; doubles become the called suit under declaration id 7.,w42/doubles_no_trump_claim_validation/ruleset_regime_checks.csv; w42/doubles_no_trump_claim_validation/summary.json,Ruleset substrate only; it does not prove a declaration or play choice.,Keep as a regression fixture and add paired declaration rollouts for strategy choices.,https://wandb.ai/jasonyandell-forge42/w42/runs/0kop3jhk,not applicable
ch09-doubles-trump-follow-suit-removal,doubles/no-trump rules,supported,A native double cannot follow its old pip suit after doubles are trump.,scratch/winning42/winning42.with_figures.md:3838-4239; wiki/experiments/w42-doubles-no-trump-claim-validation.md,deterministic ruleset predicate,ruleset; report-only,Ruleset fixture check from the doubles/no-trump validation script.,"7 / 7 predicate cases passed; double-pip tiles are callable trump only, not native-suit followers.",w42/doubles_no_trump_claim_validation/ruleset_regime_checks.csv; w42/doubles_no_trump_claim_validation/summary.json,Ruleset substrate only; it does not prove a declaration or play choice.,Keep as a regression fixture and add paired declaration rollouts for strategy choices.,https://wandb.ai/jasonyandell-forge42/w42/runs/0kop3jhk,not applicable
ch09-no-trump-doubles-remain-native-tops,doubles/no-trump rules,supported,"Under no-trump, doubles remain in native suits and outrank non-doubles in that suit.",scratch/winning42/winning42.with_figures.md:3838-4239; wiki/experiments/w42-doubles-no-trump-claim-validation.md,deterministic ruleset predicate,ruleset; report-only,Ruleset fixture check from the doubles/no-trump validation script.,7 / 7 predicate cases passed; standard no-trump keeps doubles as suit tops.,w42/doubles_no_trump_claim_validation/ruleset_regime_checks.csv; w42/doubles_no_trump_claim_validation/summary.json,Ruleset substrate only; it does not prove a declaration or play choice.,Keep as a regression fixture and add paired declaration rollouts for strategy choices.,https://wandb.ai/jasonyandell-forge42/w42/runs/0kop3jhk,not applicable
ch09-dual-suit-top-protection,doubles/no-trump rules,supported,Some non-doubles become top tiles in both native suits once doubles leave native suits.,scratch/winning42/winning42.with_figures.md:3838-4239; wiki/experiments/w42-doubles-no-trump-claim-validation.md,deterministic ruleset predicate,ruleset; report-only,Ruleset fixture check from the doubles/no-trump validation script.,1 / 1 predicate cases passed; dual-top non-doubles=6-5.,w42/doubles_no_trump_claim_validation/ruleset_regime_checks.csv; w42/doubles_no_trump_claim_validation/summary.json,Ruleset substrate only; it does not prove a declaration or play choice.,Keep as a regression fixture and add paired declaration rollouts for strategy choices.,https://wandb.ai/jasonyandell-forge42/w42/runs/0kop3jhk,not applicable
ch09-no-trump-separate-doubles-suit-variant,doubles/no-trump rules,supported,"No-trump with doubles as a separate suit is a non-standard variant gate, not standard no-trump.",scratch/winning42/winning42.with_figures.md:3838-4239; wiki/experiments/w42-doubles-no-trump-claim-validation.md,deterministic ruleset predicate,ruleset; report-only,Ruleset fixture check from the doubles/no-trump validation script.,"1 / 1 predicate cases passed; engine declaration ids: doubles-trump=7, doubles-suit variant=8, no-trump=9.",w42/doubles_no_trump_claim_validation/ruleset_regime_checks.csv; w42/doubles_no_trump_claim_validation/summary.json,Ruleset substrate only; it does not prove a declaration or play choice.,Keep as a regression fixture and add paired declaration rollouts for strategy choices.,https://wandb.ai/jasonyandell-forge42/w42/runs/0kop3jhk,not applicable
ch09-doubles-trump-candidate-4plus,doubles/no-trump odds,context-limited,Four-plus doubles are a measurable candidate gate for doubles-as-trump hands.,scratch/winning42/winning42.with_figures.md:3838-4239; wiki/experiments/w42-doubles-no-trump-claim-validation.md,exact static enumeration,enumeration; oracle,Exact hand-slice count from all seven-domino hands.,"51108 / 1184040 = 4.316408%; Four-plus doubles are rare enough to be a candidate gate, not a strategy verdict.",w42/doubles_no_trump_claim_validation/hand_regime_proxy_slices.csv; w42/doubles_no_trump_claim_validation/summary.json,Static regime membership is not a declaration-value verdict.,Run paired doubles-trump versus no-trump rollouts.,https://wandb.ai/jasonyandell-forge42/w42/runs/0kop3jhk,not applicable
ch09-no-trump-support-proxy,doubles/no-trump odds,underpowered,No-trump support can be approximated by static double/off support buckets.,scratch/winning42/winning42.with_figures.md:3838-4239; wiki/experiments/w42-doubles-no-trump-claim-validation.md,exact static enumeration,enumeration; oracle,Exact hand-slice count from all seven-domino hands.,527559 / 1184040 = 44.555843%; Static proxy for no-trump support doubles; needs oracle rollout for strategy status.,w42/doubles_no_trump_claim_validation/hand_regime_proxy_slices.csv; w42/doubles_no_trump_claim_validation/summary.json,Static regime membership is not a declaration-value verdict.,Run paired doubles-trump versus no-trump rollouts.,https://wandb.ai/jasonyandell-forge42/w42/runs/0kop3jhk,not applicable
ch09-regime-switch-proxy-nt-over-dt,doubles/no-trump odds,underpowered,Some four-plus-double hands are plausible no-trump-over-doubles-trump switch candidates.,scratch/winning42/winning42.with_figures.md:3838-4239; wiki/experiments/w42-doubles-no-trump-claim-validation.md,exact static enumeration,enumeration; oracle,Exact hand-slice count from all seven-domino hands.,"21884 / 51108 = 42.819128%; Candidate same-hand regime-switch bucket: 4+ doubles, weak high-double coverage, and no-trump support proxy.",w42/doubles_no_trump_claim_validation/hand_regime_proxy_slices.csv; w42/doubles_no_trump_claim_validation/summary.json,Static regime membership is not a declaration-value verdict.,Run paired doubles-trump versus no-trump rollouts.,https://wandb.ai/jasonyandell-forge42/w42/runs/0kop3jhk,not applicable
ch09-five-doubles-opponent-void-prior,doubles/no-trump odds,supported,"With five doubles as trumps and only two missing doubles, it is roughly 80% likely that at least one opponent cannot follow doubles.",scratch/winning42/winning42.with_figures.md:4111-4120,exact conditional arithmetic,enumeration; report-only,"Assign the two missing doubles uniformly over 21 unknown slots: partner 7, each opponent 7.",161 / 210 = 76.667%.,w42/statistics_claims_ledger/build_statistics_claims_ledger.py,"This validates the rounded prior, not the amount of count opponents can discard or whether no-trump is better.",Add paired declaration/play rollouts for the sample hand class.,not applicable,not applicable
ch10-score-mode-objective,scoring objective,supported,Marks change the scoring objective from captured hand points to hand-level make/set marks.,wiki/experiments/winning42-ch10-tournament-scoring.md; scratch/winning42/winning42.with_figures.md lines 4243-4331,deterministic scoring transform,enumeration; ruleset; report-only,Terminal utility transform and point-vs-mark break-even comparison.,See scoring transform tables; caveat: Deterministic scoring algebra supports objective drift; policy optimality still needs oracle rollouts.,w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/terminal_objective_transform.csv; w42/scoring_objective_drift_claim_validation/objective_thresholds.csv,Deterministic scoring algebra supports objective drift; policy optimality still needs oracle rollouts.,"Use policy-population or tournament simulation for claims about skill, speed, or advancement.",https://wandb.ai/jasonyandell-forge42/w42/runs/7keeve33,not applicable
ch10-early-terminal-under-marks,scoring objective,supported,Marks create early terminal states once an ordinary contract is already made or impossible.,wiki/experiments/winning42-ch10-tournament-scoring.md; scratch/winning42/winning42.with_figures.md lines 4243-4331,deterministic scoring transform,enumeration; ruleset; report-only,Exhaustive arithmetic over captured points and remaining count.,See scoring transform tables; caveat: Terminal detector ignores legal trick paths; it only proves the arithmetic condition.,w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/terminal_objective_transform.csv; w42/scoring_objective_drift_claim_validation/objective_thresholds.csv,Terminal detector ignores legal trick paths; it only proves the arithmetic condition.,"Use policy-population or tournament simulation for claims about skill, speed, or advancement.",https://wandb.ai/jasonyandell-forge42/w42/runs/7keeve33,not applicable
ch10-nonbidder-partial-points-erased,scoring objective,supported,Marks erase defender partial-point rewards when the bidder makes an ordinary contract.,wiki/experiments/winning42-ch10-tournament-scoring.md; scratch/winning42/winning42.with_figures.md lines 4243-4331,deterministic scoring transform,enumeration; ruleset; report-only,Terminal utility rows where defenders capture points but receive zero marks.,"See scoring transform tables; caveat: Supports terminal accounting, not whether defenders should chase points in a live state.",w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/terminal_objective_transform.csv; w42/scoring_objective_drift_claim_validation/objective_thresholds.csv,"Supports terminal accounting, not whether defenders should chase points in a live state.","Use policy-population or tournament simulation for claims about skill, speed, or advancement.",https://wandb.ai/jasonyandell-forge42/w42/runs/7keeve33,not applicable
ch10-set-severity-compression,scoring objective,supported,Ordinary mark scoring compresses many point-set severities into the same one-mark result.,wiki/experiments/winning42-ch10-tournament-scoring.md; scratch/winning42/winning42.with_figures.md lines 4243-4331,deterministic scoring transform,enumeration; ruleset; report-only,Distinct ordinary point penalties collapsed to one mark on failed ordinary bids.,See scoring transform tables; caveat: High-bid multipliers remain distinct; live-state pursuit of extra count is untested.,w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/terminal_objective_transform.csv; w42/scoring_objective_drift_claim_validation/objective_thresholds.csv,High-bid multipliers remain distinct; live-state pursuit of extra count is untested.,"Use policy-population or tournament simulation for claims about skill, speed, or advancement.",https://wandb.ai/jasonyandell-forge42/w42/runs/7keeve33,not applicable
ch10-special-bid-mark-multiplier,scoring objective,supported,84/126/168 scale to two/three/four marks while ordinary bids collapse to one mark.,wiki/experiments/winning42-ch10-tournament-scoring.md; scratch/winning42/winning42.with_figures.md lines 4243-4331,deterministic scoring transform,enumeration; ruleset; report-only,Multiplier table over report bids.,"See scoring transform tables; caveat: Validates objective scale only, not bid selection or make probability.",w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/terminal_objective_transform.csv; w42/scoring_objective_drift_claim_validation/objective_thresholds.csv,"Validates objective scale only, not bid selection or make probability.","Use policy-population or tournament simulation for claims about skill, speed, or advancement.",https://wandb.ai/jasonyandell-forge42/w42/runs/7keeve33,not applicable
ch10-low-bid-score-distortion,scoring objective,supported,Low ordinary bids can create mark-score leads that overstate point-score separation.,wiki/experiments/winning42-ch10-tournament-scoring.md; scratch/winning42/winning42.with_figures.md lines 4243-4331,deterministic scoring transform,enumeration; ruleset; report-only,Synthetic scoreboard replay including three barely made 30 bids.,See scoring transform tables; caveat: Synthetic examples validate the transform; frequency in generated or human games is unmeasured.,w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/terminal_objective_transform.csv; w42/scoring_objective_drift_claim_validation/objective_thresholds.csv,Synthetic examples validate the transform; frequency in generated or human games is unmeasured.,"Use policy-population or tournament simulation for claims about skill, speed, or advancement.",https://wandb.ai/jasonyandell-forge42/w42/runs/7keeve33,not applicable
ch10-point-system-skill-signal,scoring objective,underpowered,Point scoring is a richer skill signal than marks.,wiki/experiments/winning42-ch10-tournament-scoring.md; scratch/winning42/winning42.with_figures.md lines 4243-4331,deterministic scoring transform,enumeration; ruleset; report-only,Requires policy population separation under both objectives.,"See scoring transform tables; caveat: No policy population, oracle arena, or human/tournament data was run.",w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/terminal_objective_transform.csv; w42/scoring_objective_drift_claim_validation/objective_thresholds.csv,"No policy population, oracle arena, or human/tournament data was run.","Use policy-population or tournament simulation for claims about skill, speed, or advancement.",https://wandb.ai/jasonyandell-forge42/w42/runs/7keeve33,not applicable
ch10-tournament-speed-tradeoff,scoring objective,context-limited,Marks speed tournaments through early termination and shorter matches.,wiki/experiments/winning42-ch10-tournament-scoring.md; scratch/winning42/winning42.with_figures.md lines 4243-4331,deterministic scoring transform,enumeration; ruleset; report-only,Early-terminal arithmetic plus saved-trick upper-bound table.,See scoring transform tables; caveat: Arithmetic supports possible saved tricks; real speed requires play-time or tournament simulation.,w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/terminal_objective_transform.csv; w42/scoring_objective_drift_claim_validation/objective_thresholds.csv,Arithmetic supports possible saved tricks; real speed requires play-time or tournament simulation.,"Use policy-population or tournament simulation for claims about skill, speed, or advancement.",https://wandb.ai/jasonyandell-forge42/w42/runs/7keeve33,not applicable
ch10-timed-marks-advancement-objective,scoring objective,not-yet-tested,Timed competitions can make advancement probability the real objective.,wiki/experiments/winning42-ch10-tournament-scoring.md; scratch/winning42/winning42.with_figures.md lines 4243-4331,deterministic scoring transform,enumeration; ruleset; report-only,Tournament bracket or timed-round simulation.,"See scoring transform tables; caveat: This report did not simulate brackets, clocks, or tiebreak populations.",w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/terminal_objective_transform.csv; w42/scoring_objective_drift_claim_validation/objective_thresholds.csv,"This report did not simulate brackets, clocks, or tiebreak populations.","Use policy-population or tournament simulation for claims about skill, speed, or advancement.",https://wandb.ai/jasonyandell-forge42/w42/runs/7keeve33,not applicable
ch07-84-contract-regime,84 bidder/defender,context-limited,84 is an all-seven-tricks contract with special scoring semantics.,wiki/experiments/winning42-ch07-taking-every-trick-84.md,exact static enumeration / hypergeometric proxy,enumeration; report-only,rules/source-backed; no engine score replay in this bead,bidder claim; rules/source-backed; no engine score replay in this bead.,w42/eighty_four_claim_validation/claim_summary.csv; w42/eighty_four_claim_validation/summary.json,The report relies on existing chapter/ruleset pages for scoring semantics.,Use 84-specific generated states and paired last-trick tests.,https://wandb.ai/jasonyandell-forge42/w42/runs/vmta9zew,not applicable
ch07-protected-one-off-84-shape,84 bidder/defender,underpowered,Protected one-off 84 shapes are strong enough to justify the 84 bidding advice.,wiki/experiments/winning42-ch07-taking-every-trick-84.md,exact static enumeration / hypergeometric proxy,enumeration; report-only,exact hand/declaration shape count; no make/set rollout,bidder claim; exact hand/declaration shape count; no make/set rollout.,w42/eighty_four_claim_validation/claim_summary.csv; w42/eighty_four_claim_validation/summary.json,Shape existence and asset pools do not prove that bidding 84 is value-positive.,Use 84-specific generated states and paired last-trick tests.,https://wandb.ai/jasonyandell-forge42/w42/runs/vmta9zew,not applicable
ch07-straight-off-two-to-one-double,84 bidder/defender,context-limited,A straight-off 84 is exposed to a two-to-one missing-double ownership prior.,wiki/experiments/winning42-ch07-taking-every-trick-84.md,exact static enumeration / hypergeometric proxy,enumeration; report-only,exact opponent-team ownership odds for a named missing matching double,bidder claim; exact opponent-team ownership odds for a named missing matching double.,w42/eighty_four_claim_validation/claim_summary.csv; w42/eighty_four_claim_validation/summary.json,The 'nearly set two out of three' policy claim still needs rollouts.,Use 84-specific generated states and paired last-trick tests.,https://wandb.ai/jasonyandell-forge42/w42/runs/vmta9zew,not applicable
ch07-score-42-vs-84-gate,84 bidder/defender,not-yet-tested,"Near 250 points, the decision between bidding 42 and 84 should be score-gated.",wiki/experiments/winning42-ch07-taking-every-trick-84.md,exact static enumeration / hypergeometric proxy,enumeration; report-only,not measured,bidder claim; not measured.,w42/eighty_four_claim_validation/claim_summary.csv; w42/eighty_four_claim_validation/summary.json,Needs terminal score-state oracle or match utility simulation.,Use 84-specific generated states and paired last-trick tests.,https://wandb.ai/jasonyandell-forge42/w42/runs/vmta9zew,not applicable
ch08-one-to-four-last-trick-weapons,84 bidder/defender,context-limited,Each opponent usually starts an 84 defense with one to four possible last-trick weapons.,wiki/experiments/winning42-ch08-setting-84.md,exact static enumeration / hypergeometric proxy,enumeration; report-only,exact static weapon-pool distribution by final-off case,defender claim; exact static weapon-pool distribution by final-off case.,w42/eighty_four_claim_validation/claim_summary.csv; w42/eighty_four_claim_validation/summary.json,Initial inventory ignores forced-follow pressure and bidder inference.,Use 84-specific generated states and paired last-trick tests.,https://wandb.ai/jasonyandell-forge42/w42/runs/vmta9zew,not applicable
ch08-double-ahead-needs-same-suit-pair,84 bidder/defender,underpowered,"When the bidder has the double ahead of the off, defenders need a same-suit pair line.",wiki/experiments/winning42-ch08-setting-84.md,exact static enumeration / hypergeometric proxy,enumeration; report-only,exact same-suit pair pool size/probability proxy,defender claim; exact same-suit pair pool size/probability proxy.,w42/eighty_four_claim_validation/claim_summary.csv; w42/eighty_four_claim_validation/summary.json,A pair existing initially is not a set path without final-two-trick simulation.,Use 84-specific generated states and paired last-trick tests.,https://wandb.ai/jasonyandell-forge42/w42/runs/vmta9zew,not applicable
ch08-abandon-dead-assets,84 bidder/defender,not-yet-tested,A defender should abandon stopper assets once public evidence proves they are dead.,wiki/experiments/winning42-ch08-setting-84.md,exact static enumeration / hypergeometric proxy,enumeration; report-only,detector trigger table only,defender claim; detector trigger table only.,w42/eighty_four_claim_validation/claim_summary.csv; w42/eighty_four_claim_validation/summary.json,Needs public replay or oracle action counterfactuals to tell correct abandonment from lucky discard.,Use 84-specific generated states and paired last-trick tests.,https://wandb.ai/jasonyandell-forge42/w42/runs/vmta9zew,not applicable
ch08-throwaway-priority-ladder,84 bidder/defender,not-yet-tested,The 84 throwaway priority ladder preserves the right final-trick stopper.,wiki/experiments/winning42-ch08-setting-84.md,exact static enumeration / hypergeometric proxy,enumeration; report-only,not measured,defender claim; not measured.,w42/eighty_four_claim_validation/claim_summary.csv; w42/eighty_four_claim_validation/summary.json,Needs legal discard/action-local states and regret labels.,Use 84-specific generated states and paired last-trick tests.,https://wandb.ai/jasonyandell-forge42/w42/runs/vmta9zew,not applicable
