source_id,path,granularity,row_count,key_fields,atlas_join_status,join_reason,dimensions_available,scientific_status,confound_status,row_count_status,schema_fields,sha256
gus_top20_drama_eval,gus/analysis/tables/top20_drama_eval.csv,selected_decision,20,seed+d_idx+current_player,unjoinable:gus-corpus-state-namespace,Gus decision indices and seeds refer to a different corpus/state encoding; overlapping integers are not shared identities,outcome_variance|action_fragility|belief_sharpness|drama,Gus drama summary or selected-example evidence,different corpus/state namespace; cannot be attached to W42 actions,available:csv-row-scan,seed|d_idx|current_player|decl_id|drama_score|outcome_variance|action_fragility|belief_sharpness|action_taken|gus_pi_action|mode_action|gus_matches_mode|e_q_taken|e_q_max|per_world_top_action_distribution,d7f693390b38dc714e6a01d8763d89798cef53250e4e6c3e5aa77ef72c7bcb75
gus_top20_drama_train,gus/analysis/tables/top20_drama_train.csv,selected_decision,20,seed+d_idx+current_player,unjoinable:gus-corpus-state-namespace,Gus decision indices and seeds refer to a different corpus/state encoding; overlapping integers are not shared identities,outcome_variance|action_fragility|belief_sharpness|drama,Gus drama summary or selected-example evidence,different corpus/state namespace; cannot be attached to W42 actions,available:csv-row-scan,seed|game_idx|d_idx|current_player|decl_id|drama_score|outcome_variance|action_fragility|belief_sharpness|action_taken|gus_pi_action|mode_action|gus_matches_mode|e_q_taken|e_q_max,3c7101f8d19736f7ed134eb6a9803919a73c1682450b41b92d399f20ab7cb294
arena_belieflens_auction_net_vs_ev_128_per_game_csv,arena/results/belieflens_auction_net_vs_ev_128/per_game.csv,match,128,experiment_path+game_idx+a_team,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,match_score|marks|win,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|a_team|n_hands|marks_a|marks_b|a_won,68929f55934acf776d8012c4e0cc8a65ad26858674b3cb43c74f5da3b7a2484b
arena_belieflens_auction_net_vs_ev_128_per_hand_csv,arena/results/belieflens_auction_net_vs_ev_128/per_hand.csv,match_hand,1425,experiment_path+game_idx+hand_idx+seed,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,bidding|contract_outcome|match_score_after_hand,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|hand_idx|seed|a_team|dealer|redeals|forced|bidder|bidder_is_a|bid_value|decl_id|team_a_pts|team_b_pts|made|marks_a_after|marks_b_after,d459f4f5de66c390c962507b731d44b460a5d175e5beefebaf5080a76e6c7721
arena_belieflens_auction_net_vs_ev_128_summary_json,arena/results/belieflens_auction_net_vs_ev_128/summary.json,experiment,1,experiment_path,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,policy_labels|marks|confidence_interval|bidding|match_score,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:json-parse,a_game_win_rate|a_win_rate_half1|a_win_rate_half2|a_wins|auction|cfg|ci_excludes_zero|contracts|elapsed_s|label_a|label_b|mark_margin_ci_hi_95|mark_margin_ci_lo_95|mean_hand_point_margin|mean_hands_per_game|mean_mark_margin|n_games|n_hands,91b4a83d4b23e430eee5bfea082444ca026bb54233037bd5b2b2472687f96ef1
arena_belieflens_auction_vs_ev_128_per_game_csv,arena/results/belieflens_auction_vs_ev_128/per_game.csv,match,128,experiment_path+game_idx+a_team,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,match_score|marks|win,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|a_team|n_hands|marks_a|marks_b|a_won,90e100fb944706b2f67339a1e74b1f1e5fdad0256a2baa43475b724c399274cf
arena_belieflens_auction_vs_ev_128_per_hand_csv,arena/results/belieflens_auction_vs_ev_128/per_hand.csv,match_hand,1394,experiment_path+game_idx+hand_idx+seed,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,bidding|contract_outcome|match_score_after_hand,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|hand_idx|seed|a_team|dealer|redeals|forced|bidder|bidder_is_a|bid_value|decl_id|team_a_pts|team_b_pts|made|marks_a_after|marks_b_after,d7b9e73c4c3972c85ed62bf7029fef673aadf305f2b5961f9fc3268f10c10c83
arena_belieflens_auction_vs_ev_128_summary_json,arena/results/belieflens_auction_vs_ev_128/summary.json,experiment,1,experiment_path,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,policy_labels|marks|confidence_interval|bidding|match_score,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:json-parse,a_game_win_rate|a_win_rate_half1|a_win_rate_half2|a_wins|auction|cfg|ci_excludes_zero|contracts|elapsed_s|label_a|label_b|mark_margin_ci_hi_95|mark_margin_ci_lo_95|mean_hand_point_margin|mean_hands_per_game|mean_mark_margin|n_games|n_hands,517b195ffd91d0a59b20d624da2711a3ea9f0920bdf3b33b99397f2b6dab4788
arena_belieflens_vs_ev_128_per_game_csv,arena/results/belieflens_vs_ev_128/per_game.csv,match,128,experiment_path+game_idx+a_team,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,match_score|marks|win,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|a_team|n_hands|marks_a|marks_b|a_won,ec8c70b12c3cd535021e31095549474380bc79a78882ed88168add5c4a9e3e0d
arena_belieflens_vs_ev_128_per_hand_csv,arena/results/belieflens_vs_ev_128/per_hand.csv,match_hand,1395,experiment_path+game_idx+hand_idx+seed,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,bidding|contract_outcome|match_score_after_hand,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|hand_idx|seed|a_team|dealer|redeals|forced|bidder|bidder_is_a|bid_value|decl_id|team_a_pts|team_b_pts|made|marks_a_after|marks_b_after,3bb454b24f1b58aaa6001cd68ab004ea5c3e41a403c3c957e5e90b19a89dd6e0
arena_belieflens_vs_ev_128_summary_json,arena/results/belieflens_vs_ev_128/summary.json,experiment,1,experiment_path,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,policy_labels|marks|confidence_interval|bidding|match_score,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:json-parse,a_game_win_rate|a_win_rate_half1|a_win_rate_half2|a_wins|auction|cfg|ci_excludes_zero|contracts|elapsed_s|label_a|label_b|mark_margin_ci_hi_95|mark_margin_ci_lo_95|mean_hand_point_margin|mean_hands_per_game|mean_mark_margin|n_games|n_hands,7b61ae7fcb2572ebaf83a10c35c38c83444430ac8f1937be0b63d26eead250a2
arena_gus_vs_heuristic_128_per_game_csv,arena/results/gus_vs_heuristic_128/per_game.csv,match,128,experiment_path+game_idx+a_team,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,match_score|marks|win,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|a_team|n_hands|marks_a|marks_b|a_won,0962d33537912310f0f5d150137d427e5df977add3a6d629d1f105bd9a4afcc8
arena_gus_vs_heuristic_128_per_hand_csv,arena/results/gus_vs_heuristic_128/per_hand.csv,match_hand,1426,experiment_path+game_idx+hand_idx+seed,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,bidding|contract_outcome|match_score_after_hand,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|hand_idx|seed|a_team|dealer|redeals|forced|bidder|bidder_is_a|bid_value|decl_id|team_a_pts|team_b_pts|made|marks_a_after|marks_b_after,721a6b48267417df9c6230f5cfd98ac054296946b9dbaa196cde4194604f7ee3
arena_gus_vs_heuristic_128_summary_json,arena/results/gus_vs_heuristic_128/summary.json,experiment,1,experiment_path,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,policy_labels|marks|confidence_interval|bidding|match_score,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:json-parse,a_game_win_rate|a_win_rate_half1|a_win_rate_half2|a_wins|auction|cfg|ci_excludes_zero|contracts|elapsed_s|label_a|label_b|mark_margin_ci_hi_95|mark_margin_ci_lo_95|mean_hand_point_margin|mean_hands_per_game|mean_mark_margin|n_games|n_hands,cdcdd2deb41f420f86eddde7887cda8326e9e464a31a25127b6f59080843da13
arena_heuristic_vs_bid30_per_game_csv,arena/results/heuristic_vs_bid30/per_game.csv,match,64,experiment_path+game_idx+a_team,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,match_score|marks|win,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|a_team|n_hands|marks_a|marks_b|a_won,ddaffbe2c372398a953e2e4b81a06780fb39ff982858e56f472e4c12bdebdd5d
arena_heuristic_vs_bid30_per_hand_csv,arena/results/heuristic_vs_bid30/per_hand.csv,match_hand,687,experiment_path+game_idx+hand_idx+seed,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,bidding|contract_outcome|match_score_after_hand,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|hand_idx|seed|a_team|dealer|redeals|forced|bidder|bidder_is_a|bid_value|decl_id|team_a_pts|team_b_pts|made|marks_a_after|marks_b_after,2cd780b3161ff538b4dc6383346dfbb75cf87740b73c492f761435159a878573
arena_heuristic_vs_bid30_summary_json,arena/results/heuristic_vs_bid30/summary.json,experiment,1,experiment_path,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,policy_labels|marks|confidence_interval|bidding|match_score,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:json-parse,a_game_win_rate|a_win_rate_half1|a_win_rate_half2|a_wins|auction|cfg|ci_excludes_zero|contracts|elapsed_s|label_a|label_b|mark_margin_ci_hi_95|mark_margin_ci_lo_95|mean_hand_point_margin|mean_hands_per_game|mean_mark_margin|n_games|n_hands,6f8296eccf6bf3ffea27a1fa9bbd4692de272c90e1a8a2249ac2f669147b0c69
arena_heuristic_vs_bid30_192_per_game_csv,arena/results/heuristic_vs_bid30_192/per_game.csv,match,192,experiment_path+game_idx+a_team,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,match_score|marks|win,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|a_team|n_hands|marks_a|marks_b|a_won,b053937db371a64a4ebd16c584a621080a61691f282c9bb8cca08d892728f7e3
arena_heuristic_vs_bid30_192_per_hand_csv,arena/results/heuristic_vs_bid30_192/per_hand.csv,match_hand,2125,experiment_path+game_idx+hand_idx+seed,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,bidding|contract_outcome|match_score_after_hand,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|hand_idx|seed|a_team|dealer|redeals|forced|bidder|bidder_is_a|bid_value|decl_id|team_a_pts|team_b_pts|made|marks_a_after|marks_b_after,56d626eda6daafa5d52ee722a3add0bcd89020ef6d32cdd9d4e913fed43a3210
arena_heuristic_vs_bid30_192_summary_json,arena/results/heuristic_vs_bid30_192/summary.json,experiment,1,experiment_path,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,policy_labels|marks|confidence_interval|bidding|match_score,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:json-parse,a_game_win_rate|a_win_rate_half1|a_win_rate_half2|a_wins|auction|cfg|ci_excludes_zero|contracts|elapsed_s|label_a|label_b|mark_margin_ci_hi_95|mark_margin_ci_lo_95|mean_hand_point_margin|mean_hands_per_game|mean_mark_margin|n_games|n_hands,6d9e7b2e4deddd682d97ae01c05ac0bfbaad397a4dbd48718d22c30e277c3c03
arena_net_vs_heuristic_128_per_game_csv,arena/results/net_vs_heuristic_128/per_game.csv,match,128,experiment_path+game_idx+a_team,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,match_score|marks|win,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|a_team|n_hands|marks_a|marks_b|a_won,16b84d1c487cd23d7f9bb9f20af5de11551a4e9d5dcc87b2090092ee5bd6fc6e
arena_net_vs_heuristic_128_per_hand_csv,arena/results/net_vs_heuristic_128/per_hand.csv,match_hand,1399,experiment_path+game_idx+hand_idx+seed,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,bidding|contract_outcome|match_score_after_hand,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|hand_idx|seed|a_team|dealer|redeals|forced|bidder|bidder_is_a|bid_value|decl_id|team_a_pts|team_b_pts|made|marks_a_after|marks_b_after,44383cef5e8ad652d596ec34598fc20401d2a1a6ae3e2c7541625e0edb809fa3
arena_net_vs_heuristic_128_summary_json,arena/results/net_vs_heuristic_128/summary.json,experiment,1,experiment_path,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,policy_labels|marks|confidence_interval|bidding|match_score,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:json-parse,a_game_win_rate|a_win_rate_half1|a_win_rate_half2|a_wins|auction|cfg|ci_excludes_zero|contracts|elapsed_s|label_a|label_b|mark_margin_ci_hi_95|mark_margin_ci_lo_95|mean_hand_point_margin|mean_hands_per_game|mean_mark_margin|n_games|n_hands,f8b6719033397a31f390bb29481790d23bc5217fb724a593eeae2c46bea25079
arena_pass_vs_nopass_128_per_game_csv,arena/results/pass_vs_nopass_128/per_game.csv,match,128,experiment_path+game_idx+a_team,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,match_score|marks|win,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|a_team|n_hands|marks_a|marks_b|a_won,53785266e72d30d1a91b7b26ff820af7dc5fc5593de5ceb38d25e90552174f60
arena_pass_vs_nopass_128_per_hand_csv,arena/results/pass_vs_nopass_128/per_hand.csv,match_hand,1425,experiment_path+game_idx+hand_idx+seed,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,bidding|contract_outcome|match_score_after_hand,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|hand_idx|seed|a_team|dealer|redeals|forced|bidder|bidder_is_a|bid_value|decl_id|team_a_pts|team_b_pts|made|marks_a_after|marks_b_after,28eee7de98f8c52fa1727b85c928a20d56f37913b04910146e18050bad39d9c4
arena_pass_vs_nopass_128_summary_json,arena/results/pass_vs_nopass_128/summary.json,experiment,1,experiment_path,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,policy_labels|marks|confidence_interval|bidding|match_score,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:json-parse,a_game_win_rate|a_win_rate_half1|a_win_rate_half2|a_wins|auction|cfg|ci_excludes_zero|contracts|elapsed_s|label_a|label_b|mark_margin_ci_hi_95|mark_margin_ci_lo_95|mean_hand_point_margin|mean_hands_per_game|mean_mark_margin|n_games|n_hands,0aa81b42c0c5922a57fef14c120aa7a08454f61562deaef3624e1892c4c0365b
arena_per_game_csv,arena/results/per_game.csv,match,4,experiment_path+game_idx+a_team,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,match_score|marks|win,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|a_team|n_hands|marks_a|marks_b|a_won,ce0635afcf231f9a2b3559ab7d0104f803ea880aa454184ee73ba4ddc6063819
arena_per_hand_csv,arena/results/per_hand.csv,match_hand,36,experiment_path+game_idx+hand_idx+seed,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,bidding|contract_outcome|match_score_after_hand,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|hand_idx|seed|a_team|dealer|redeals|forced|bidder|bidder_is_a|bid_value|decl_id|team_a_pts|team_b_pts|made|marks_a_after|marks_b_after,bdc671606182410502dc4fbb6a82a106aa492173339cbbbc2d63214a0bd1d6d1
arena_scorelens_vs_ev_192_per_game_csv,arena/results/scorelens_vs_ev_192/per_game.csv,match,192,experiment_path+game_idx+a_team,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,match_score|marks|win,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|a_team|n_hands|marks_a|marks_b|a_won,8f39e44ab5369ea3e1fa06f8849eee13798861944914e8214df3681471183c4a
arena_scorelens_vs_ev_192_per_hand_csv,arena/results/scorelens_vs_ev_192/per_hand.csv,match_hand,2021,experiment_path+game_idx+hand_idx+seed,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,bidding|contract_outcome|match_score_after_hand,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:csv-row-scan,game_idx|hand_idx|seed|a_team|dealer|redeals|forced|bidder|bidder_is_a|bid_value|decl_id|team_a_pts|team_b_pts|made|marks_a_after|marks_b_after,ae90de537e39cd80dff18c0dc64156953acfa5afdf9f686b8f5cdf24c2f6554d
arena_scorelens_vs_ev_192_summary_json,arena/results/scorelens_vs_ev_192/summary.json,experiment,1,experiment_path,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,policy_labels|marks|confidence_interval|bidding|match_score,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:json-parse,a_game_win_rate|a_win_rate_half1|a_win_rate_half2|a_wins|auction|cfg|ci_excludes_zero|contracts|elapsed_s|label_a|label_b|mark_margin_ci_hi_95|mark_margin_ci_lo_95|mean_hand_point_margin|mean_hands_per_game|mean_mark_margin|n_games|n_hands,78882b3ec0f6ab9fe93fac5f8655e3c09135db27fd86da9927dfd4082039aff6
arena_summary_json,arena/results/summary.json,experiment,1,experiment_path,unjoinable:arena-or-champion-experiment-namespace,arena deals are not the W42 corpus decisions and carry no shared action-state fingerprint,policy_labels|marks|confidence_interval|bidding|match_score,"arena outcome evidence at hand, match, or experiment granularity",no shared W42 action-state fingerprint,available:json-parse,a_game_win_rate|a_win_rate_half1|a_win_rate_half2|a_wins|auction|cfg|ci_excludes_zero|contracts|elapsed_s|label_a|label_b|mark_margin_ci_hi_95|mark_margin_ci_lo_95|mean_hand_point_margin|mean_hands_per_game|mean_mark_margin|n_games|n_hands,31ca57f1ee47a6a1d43d8362f6dfa6d7b143acc5179644381ec32433edc739de
