claim_id,family,ledger_status,completion_bucket,evidence_strength,phase4_next_bead,phase4_recommendation,ready_for_powered_test_phase2,testability_class_phase2,claim,headline_evidence,primary_artifacts_existing,ledger_evidence_artifacts,target_wiki_page_phase2,known_blocker_or_caveat,ledger_next_check,phase2_completion_evidence,phase2_likely_blockers
ch02-risk-budget-threshold,count exposure,underpowered,phase3_context_limited,generated_partial,needs_new_bidding_count_exposure_bead,add_or_assign_risk_budget_followup,needs_generation,auction_or_bid_margin_data_needed,A 12-or-fewer at-risk point total is sufficient to justify bidding.,Static risk buckets showed lower make/profit rates as off/count exposure increased.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/bid_only_enough_claim_tests/summary.json; w42/bid_only_enough_claim_tests/margin_summary.csv; w42/auction_bid_discipline_claim_tests/summary.json; w42/auction_bid_discipline_claim_tests/bid_margin_summary.csv; w42/auction_bid_discipline_claim_tests/natural_bucket_summary.csv; w42/auction_bid_discipline_claim_tests/partner_signal_summary.csv; w42/auction_bid_discipline_claim_tests/risk_budget_summary.csv; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/bidding_risk_budget_claim_validation/candidate_risk_bucket_distribution.csv; w42/bidding_risk_budget_claim_validation/best_candidate_risk_points_distribution.csv,wiki/experiments/w42-bidding-risk-budget-claim-validation.md,Risk buckets are coarse; exact bid margins and partner/opponent adaptation remain offline.,Run auction-aware make/set or forge E[Q] bidding counterfactuals.,Auction-aware or paired bid-margin dataset with make/set or regret CIs by risk bucket and explicit separation of static hand strength from bid strategy.,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.
ch02-duplicate-count-exposure,count exposure,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,fixture_only,static_substrate_fixture_plus_auction_followup,Repeated side exposure can double-count the same count domino unless de-duplicated.,Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/bid_only_enough_claim_tests/summary.json; w42/bid_only_enough_claim_tests/margin_summary.csv; w42/auction_bid_discipline_claim_tests/summary.json; w42/auction_bid_discipline_claim_tests/bid_margin_summary.csv; w42/auction_bid_discipline_claim_tests/natural_bucket_summary.csv; w42/auction_bid_discipline_claim_tests/partner_signal_summary.csv; w42/auction_bid_discipline_claim_tests/risk_budget_summary.csv; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/bidding_risk_budget_claim_validation/summary.json; w42/bidding_risk_budget_claim_validation/duplicate_overcount_points_distribution.csv,wiki/experiments/w42-bidding-risk-budget-claim-validation.md,Report-only support does not imply broad policy optimality.,Keep as a regression fixture for risk-budget detectors.,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.
ch02-strong-trump-bad-risk-trap,count exposure,context-limited,needs_phase4_or_new_scope,generated_partial,needs_new_bidding_count_exposure_bead,add_or_assign_count_exposure_followup,needs_generation,auction_or_bid_margin_data_needed,Strong-looking trump shape can still exceed the beginner risk budget because of offs.,"Auction/risk artifacts can route this, but no dedicated phase-4 child currently owns Ch02 count-exposure refinements.",w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/bid_only_enough_claim_tests/summary.json; w42/bid_only_enough_claim_tests/margin_summary.csv; w42/auction_bid_discipline_claim_tests/summary.json; w42/auction_bid_discipline_claim_tests/bid_margin_summary.csv; w42/auction_bid_discipline_claim_tests/natural_bucket_summary.csv; w42/auction_bid_discipline_claim_tests/partner_signal_summary.csv; w42/auction_bid_discipline_claim_tests/risk_budget_summary.csv; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/bidding_risk_budget_claim_validation/summary.json; w42/bidding_risk_budget_claim_validation/strong_trump_bad_risk_points_distribution.csv,wiki/experiments/w42-bidding-risk-budget-claim-validation.md,Requires paired hand-shape contrasts where strong trump is separated from off/count liability.,"Split by actual declared suit, auction pressure, and E[Q] outcome.",Auction-aware or paired bid-margin dataset with make/set or regret CIs by risk bucket and explicit separation of static hand strength from bid strategy.,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.
ch02-four-five-off-danger,count exposure,context-limited,needs_phase4_or_new_scope,generated_partial,needs_new_bidding_count_exposure_bead,add_or_assign_count_exposure_followup,needs_generation,auction_or_bid_margin_data_needed,Four and five offs create high count-exposure risk.,"Phase 3 has risk buckets, but this exact four/five off danger claim remains a shape-specific blocker.",w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/bid_only_enough_claim_tests/summary.json; w42/bid_only_enough_claim_tests/margin_summary.csv; w42/auction_bid_discipline_claim_tests/summary.json; w42/auction_bid_discipline_claim_tests/bid_margin_summary.csv; w42/auction_bid_discipline_claim_tests/natural_bucket_summary.csv; w42/auction_bid_discipline_claim_tests/partner_signal_summary.csv; w42/auction_bid_discipline_claim_tests/risk_budget_summary.csv; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/bidding_risk_budget_claim_validation/summary.json,wiki/experiments/w42-bidding-risk-budget-claim-validation.md,Needs matched generated hands that isolate off-suit count exposure.,Run paired bidding/play outcomes for high-off exposure buckets.,Auction-aware or paired bid-margin dataset with make/set or regret CIs by risk bucket and explicit separation of static hand strength from bid strategy.,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.
ch12-natural-bid-bucket-anomaly,bidding risk,underpowered,phase3_context_limited,generated_partial,needs_new_bidding_count_exposure_bead,add_or_assign_bid_bucket_followup,needs_generation,auction_or_bid_margin_data_needed,Natural bid buckets such as 30/31/35/36 can be validated from static exposed-count ceilings.,Natural max-profitable bid buckets appeared in 68/384 contracts (17.708%).,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/bid_only_enough_claim_tests/summary.json; w42/bid_only_enough_claim_tests/margin_summary.csv; w42/auction_bid_discipline_claim_tests/summary.json; w42/auction_bid_discipline_claim_tests/bid_margin_summary.csv; w42/auction_bid_discipline_claim_tests/natural_bucket_summary.csv; w42/auction_bid_discipline_claim_tests/partner_signal_summary.csv; w42/auction_bid_discipline_claim_tests/risk_budget_summary.csv; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/bidding_risk_budget_claim_validation/bid_ceiling_proxy_distribution.csv,wiki/experiments/w42-bidding-risk-budget-claim-validation.md,"The corpus measures max-profitable thresholds, not cultural/natural bid selection under live opponents.",Use generated auction logs or paired bidding rollouts.,Auction-aware or paired bid-margin dataset with make/set or regret CIs by risk bucket and explicit separation of static hand strength from bid strategy.,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.
ch02-double-side-protection,count exposure,context-limited,needs_phase4_or_new_scope,generated_partial,needs_new_bidding_count_exposure_bead,add_or_assign_count_exposure_followup,needs_generation,auction_or_bid_margin_data_needed,"A double ahead of an off reduces risk, but only for the protected side of the off.",No direct paired double-side protection contrast exists yet.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/bid_only_enough_claim_tests/summary.json; w42/bid_only_enough_claim_tests/margin_summary.csv; w42/auction_bid_discipline_claim_tests/summary.json; w42/auction_bid_discipline_claim_tests/bid_margin_summary.csv; w42/auction_bid_discipline_claim_tests/natural_bucket_summary.csv; w42/auction_bid_discipline_claim_tests/partner_signal_summary.csv; w42/auction_bid_discipline_claim_tests/risk_budget_summary.csv; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/bidding_risk_budget_claim_validation/summary.json,wiki/experiments/w42-bidding-risk-budget-claim-validation.md,Needs generated shape pairs or exact enumeration joined to make/set labels.,Add action-sequence and follow-pressure labels.,Auction-aware or paired bid-margin dataset with make/set or regret CIs by risk bucket and explicit separation of static hand strength from bid strategy.,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.
ch02-bid-only-enough,bidding risk,supported,review_for_ledger_update,generated_direct,ledger_reconciliation,review_status_move_to_supported_or_context_limited,needs_generation,auction_or_bid_margin_data_needed,A bidder should bid only enough to win because excess bid amount only increases set risk.,Phase 3 found 0/14976 positive-margin rows where bidding above minimum improved over the minimum bid.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/bid_only_enough_claim_tests/summary.json; w42/bid_only_enough_claim_tests/margin_summary.csv; w42/auction_bid_discipline_claim_tests/summary.json; w42/auction_bid_discipline_claim_tests/bid_margin_summary.csv; w42/auction_bid_discipline_claim_tests/natural_bucket_summary.csv; w42/auction_bid_discipline_claim_tests/partner_signal_summary.csv; w42/auction_bid_discipline_claim_tests/risk_budget_summary.csv; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,not applicable,wiki/experiments/w42-bidding-risk-budget-claim-validation.md,Auction contexts are synthetic and use bidder-hand Monte Carlo labels rather than a full table auction policy.,Generate auction logs or paired bid-margin E[Q] rollouts.,Auction-aware or paired bid-margin dataset with make/set or regret CIs by risk bucket and explicit separation of static hand strength from bid strategy.,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.
ch09-doubles-trump-doubles-leave-native-suits,doubles/no-trump rules,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,fixture_only,deterministic_ruleset_fixture,Under doubles-as-trump all doubles are called suit and non-doubles are not.,Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/doubles_no_trump_claim_validation/summary.json; w42/doubles_no_trump_claim_validation/claim_ledger_delta.json; w42/doubles_no_trump_legacy_mining/summary.json; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/doubles_no_trump_claim_validation/ruleset_regime_checks.csv; w42/doubles_no_trump_claim_validation/summary.json,wiki/experiments/w42-doubles-no-trump-claim-validation.md,Report-only support does not imply broad policy optimality.,Keep as a regression fixture and add paired declaration rollouts for strategy choices.,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",No blocker for fixture use; blocker only applies if promoted into policy advice.
ch09-doubles-trump-follow-suit-removal,doubles/no-trump rules,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,fixture_only,deterministic_ruleset_fixture,A native double cannot follow its old pip suit after doubles are trump.,Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/doubles_no_trump_claim_validation/summary.json; w42/doubles_no_trump_claim_validation/claim_ledger_delta.json; w42/doubles_no_trump_legacy_mining/summary.json; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/doubles_no_trump_claim_validation/ruleset_regime_checks.csv; w42/doubles_no_trump_claim_validation/summary.json,wiki/experiments/w42-doubles-no-trump-claim-validation.md,Report-only support does not imply broad policy optimality.,Keep as a regression fixture and add paired declaration rollouts for strategy choices.,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",No blocker for fixture use; blocker only applies if promoted into policy advice.
ch09-no-trump-doubles-remain-native-tops,doubles/no-trump rules,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,fixture_only,deterministic_ruleset_fixture,"Under no-trump, doubles remain in native suits and outrank non-doubles in that suit.",Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/doubles_no_trump_claim_validation/summary.json; w42/doubles_no_trump_claim_validation/claim_ledger_delta.json; w42/doubles_no_trump_legacy_mining/summary.json; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/doubles_no_trump_claim_validation/ruleset_regime_checks.csv; w42/doubles_no_trump_claim_validation/summary.json,wiki/experiments/w42-doubles-no-trump-claim-validation.md,Report-only support does not imply broad policy optimality.,Keep as a regression fixture and add paired declaration rollouts for strategy choices.,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",No blocker for fixture use; blocker only applies if promoted into policy advice.
ch09-dual-suit-top-protection,doubles/no-trump rules,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,fixture_only,deterministic_ruleset_fixture,Some non-doubles become top tiles in both native suits once doubles leave native suits.,Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/doubles_no_trump_claim_validation/summary.json; w42/doubles_no_trump_claim_validation/claim_ledger_delta.json; w42/doubles_no_trump_legacy_mining/summary.json; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/doubles_no_trump_claim_validation/ruleset_regime_checks.csv; w42/doubles_no_trump_claim_validation/summary.json,wiki/experiments/w42-doubles-no-trump-claim-validation.md,Report-only support does not imply broad policy optimality.,Keep as a regression fixture and add paired declaration rollouts for strategy choices.,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",No blocker for fixture use; blocker only applies if promoted into policy advice.
