claim_id,family,ledger_status,completion_bucket,phase4_next_bead,phase4_recommendation,audit_category,evidence_sources,blocker_or_scope_bound,claim
ch03-trump-pull-sequencing,bidder sequencing,underpowered,active_phase4,t42-br7n.1,keep_open_under_phase4_1,bounded_by_generator_or_scope,phase4_sequence_handshape_tests paired/blocker artifacts; completion_board artifact routing,"sequence/handshape blocker table: exact private hand, future lead, void-creation, bid-margin, or high-bid state fields may be needed for broad promotion","Proxy evidence improves tiny-model oracle alignment, but no trump-first/off-first counterfactual was run."
ch04-avoid-disruptive-partner-trump-lead,partner support,underpowered,active_phase4,t42-br7n.1,keep_open_under_phase4_1,bounded_by_generator_or_scope,phase4_sequence_handshape_tests paired/blocker artifacts; completion_board artifact routing,"sequence/handshape blocker table: exact private hand, future lead, void-creation, bid-margin, or high-bid state fields may be needed for broad promotion",Off lead versus trump lead from lead position
ch04-lead-away-from-count-damage,partner support,underpowered,active_phase4,t42-br7n.1,keep_open_under_phase4_1,bounded_by_generator_or_scope,phase4_sequence_handshape_tests paired/blocker artifacts; completion_board artifact routing,"sequence/handshape blocker table: exact private hand, future lead, void-creation, bid-margin, or high-bid state fields may be needed for broad promotion",Low-liability off lead versus count-exposing off lead
ch04-lead-capture-for-support,partner support,underpowered,active_phase4,t42-br7n.1,keep_open_under_phase4_1,bounded_by_generator_or_scope,phase4_sequence_handshape_tests paired/blocker artifacts; completion_board artifact routing,"sequence/handshape blocker table: exact private hand, future lead, void-creation, bid-margin, or high-bid state fields may be needed for broad promotion",Winning the current trick versus non-winning alternatives
ch04-low-trump-trap-against-count-dump,partner support,underpowered,active_phase4,t42-br7n.1,keep_open_under_phase4_1,bounded_by_generator_or_scope,phase4_sequence_handshape_tests paired/blocker artifacts; completion_board artifact routing,"sequence/handshape blocker table: exact private hand, future lead, void-creation, bid-margin, or high-bid state fields may be needed for broad promotion",Partner donation without trump-in versus count dumped while trumping in
ch04-safe-partner-count-donation,partner support,context-limited,active_phase4,t42-br7n.1,keep_open_under_phase4_1,bounded_by_generator_or_scope,central ledger evidence_artifacts; central ledger status/result: context-limited; phase4_sequence_handshape_tests paired/blocker artifacts; completion_board artifact routing,"sequence/handshape blocker table: exact private hand, future lead, void-creation, bid-margin, or high-bid state fields may be needed for broad promotion",Safe count donation under current bidder-team trick control is better than same-decision alternatives.
ch05-count-calling-lead,setter defense,underpowered,active_phase4,t42-br7n.1,keep_open_under_phase4_1,bounded_by_generator_or_scope,phase4_sequence_handshape_tests paired/blocker artifacts; completion_board artifact routing,"sequence/handshape blocker table: exact private hand, future lead, void-creation, bid-margin, or high-bid state fields may be needed for broad promotion",High-liability count-calling lead versus low-liability lead
ch05-count-protection,setter defense,underpowered,active_phase4,t42-br7n.1,keep_open_under_phase4_1,bounded_by_generator_or_scope,phase4_sequence_handshape_tests paired/blocker artifacts; completion_board artifact routing,"sequence/handshape blocker table: exact private hand, future lead, void-creation, bid-margin, or high-bid state fields may be needed for broad promotion",Protected count action versus unprotected count action
ch05-extra-count-to-set,setter defense,context-limited,active_phase4,t42-br7n.1,keep_open_under_phase4_1,bounded_by_generator_or_scope,central ledger evidence_artifacts; central ledger status/result: context-limited; phase4_sequence_handshape_tests paired/blocker artifacts; completion_board artifact routing,"sequence/handshape blocker table: exact private hand, future lead, void-creation, bid-margin, or high-bid state fields may be needed for broad promotion",Pounce count that immediately reaches the set threshold is better than same-decision alternatives.
ch05-trump-rich-count-intervention,setter defense,underpowered,active_phase4,t42-br7n.1,keep_open_under_phase4_1,bounded_by_generator_or_scope,phase4_sequence_handshape_tests paired/blocker artifacts; completion_board artifact routing,"sequence/handshape blocker table: exact private hand, future lead, void-creation, bid-margin, or high-bid state fields may be needed for broad promotion",Trumping in on count versus holding count while opponent currently wins
ch07-84-contract-regime,84 bidder/defender,context-limited,active_phase4,t42-br7n.2,keep_open_under_phase4_2,bounded_by_generator_or_scope,central ledger evidence_artifacts; central ledger status/result: context-limited; phase4_84_dynamic_seed_tests paired/blocker artifacts; completion_board artifact routing,"84 dynamic blocker table: arbitrary late-state injection, terminal bid/match counterfactuals, or stronger population traces may be needed",84 is an all-seven-tricks contract with special scoring semantics.
ch07-protected-one-off-84-shape,84 bidder/defender,underpowered,active_phase4,t42-br7n.2,keep_open_under_phase4_2,bounded_by_generator_or_scope,phase4_84_dynamic_seed_tests paired/blocker artifacts; completion_board artifact routing,"84 dynamic blocker table: arbitrary late-state injection, terminal bid/match counterfactuals, or stronger population traces may be needed",Protected one-off 84 shapes are strong enough to justify the 84 bidding advice.
ch07-protected-one-off-shape-frequency,84 bidder/defender,underpowered,review_for_ledger_update,ledger_reconciliation,review_status_move_to_context_limited_or_supported_frequency,ledger_review_candidate_bounded,completion_board artifact routing,"This is seed frequency/surface inventory, not late-state action value.",Typical 84 candidate shapes with one protected off are available often enough to support the bidding advice.
ch07-score-42-vs-84-gate,84 bidder/defender,not-yet-tested,active_phase4,t42-br7n.2,keep_open_under_phase4_2,bounded_by_generator_or_scope,phase4_84_dynamic_seed_tests paired/blocker artifacts; completion_board artifact routing,"84 dynamic blocker table: arbitrary late-state injection, terminal bid/match counterfactuals, or stronger population traces may be needed","Near 250 points, the decision between bidding 42 and 84 should be score-gated."
ch07-straight-off-two-to-one-double,84 bidder/defender,context-limited,active_phase4,t42-br7n.2,keep_open_under_phase4_2,bounded_by_generator_or_scope,central ledger evidence_artifacts; central ledger status/result: context-limited; phase4_84_dynamic_seed_tests paired/blocker artifacts; completion_board artifact routing,"84 dynamic blocker table: arbitrary late-state injection, terminal bid/match counterfactuals, or stronger population traces may be needed",A straight-off 84 is exposed to a two-to-one missing-double ownership prior.
ch08-abandon-dead-assets,84 bidder/defender,not-yet-tested,active_phase4,t42-br7n.2,keep_open_under_phase4_2,bounded_by_generator_or_scope,phase4_84_dynamic_seed_tests paired/blocker artifacts; completion_board artifact routing,"84 dynamic blocker table: arbitrary late-state injection, terminal bid/match counterfactuals, or stronger population traces may be needed",A defender should abandon stopper assets once public evidence proves they are dead.
ch08-double-ahead-needs-same-suit-pair,84 bidder/defender,underpowered,active_phase4,t42-br7n.2,keep_open_under_phase4_2,bounded_by_generator_or_scope,phase4_84_dynamic_seed_tests paired/blocker artifacts; completion_board artifact routing,"84 dynamic blocker table: arbitrary late-state injection, terminal bid/match counterfactuals, or stronger population traces may be needed","When the bidder has the double ahead of the off, defenders need a same-suit pair line."
ch08-one-to-four-last-trick-weapons,84 bidder/defender,context-limited,active_phase4,t42-br7n.2,keep_open_under_phase4_2,bounded_by_generator_or_scope,central ledger evidence_artifacts; central ledger status/result: context-limited; phase4_84_dynamic_seed_tests paired/blocker artifacts; completion_board artifact routing,"84 dynamic blocker table: arbitrary late-state injection, terminal bid/match counterfactuals, or stronger population traces may be needed",Each opponent usually starts an 84 defense with one to four possible last-trick weapons.
ch08-throwaway-priority-ladder,84 bidder/defender,not-yet-tested,active_phase4,t42-br7n.2,keep_open_under_phase4_2,bounded_by_generator_or_scope,phase4_84_dynamic_seed_tests paired/blocker artifacts; completion_board artifact routing,"84 dynamic blocker table: arbitrary late-state injection, terminal bid/match counterfactuals, or stronger population traces may be needed",The 84 throwaway priority ladder preserves the right final-trick stopper.
ch09-doubles-trump-candidate-4plus,doubles/no-trump odds,context-limited,active_phase4,t42-br7n.5,keep_open_under_phase4_5,bounded_by_generator_or_scope,central ledger evidence_artifacts; central ledger status/result: context-limited; phase4_doubles_notrump_regime_tests paired same-hand artifacts; completion_board artifact routing,doubles/no-trump regime evidence is greedy same-hand simulation; broader auction pressure/exhaustive oracle remains outside scope,Four-plus doubles are a measurable candidate gate for doubles-as-trump hands.
ch09-no-trump-support-proxy,doubles/no-trump odds,underpowered,active_phase4,t42-br7n.5,keep_open_under_phase4_5,bounded_by_generator_or_scope,phase4_doubles_notrump_regime_tests paired same-hand artifacts; completion_board artifact routing,doubles/no-trump regime evidence is greedy same-hand simulation; broader auction pressure/exhaustive oracle remains outside scope,No-trump support can be approximated by static double/off support buckets.
ch09-regime-switch-proxy-nt-over-dt,doubles/no-trump odds,underpowered,active_phase4,t42-br7n.5,keep_open_under_phase4_5,bounded_by_generator_or_scope,phase4_doubles_notrump_regime_tests paired same-hand artifacts; completion_board artifact routing,doubles/no-trump regime evidence is greedy same-hand simulation; broader auction pressure/exhaustive oracle remains outside scope,Some four-plus-double hands are plausible no-trump-over-doubles-trump switch candidates.
ch10-point-system-skill-signal,scoring objective,underpowered,active_phase4,t42-br7n.3,keep_open_under_phase4_3,bounded_by_generator_or_scope,phase4_scoring_objective_tests claim_summary; completion_board artifact routing,missing oracle_or_human_policy_population: paired policy-population arena with E[Q]/Gus/Burl/human traces under point and mark objectives,Point scoring is a richer skill signal than marks.
ch10-timed-marks-advancement-objective,scoring objective,not-yet-tested,active_phase4,t42-br7n.3,keep_open_under_phase4_3,bounded_by_generator_or_scope,phase4_scoring_objective_tests claim_summary; completion_board artifact routing,"missing real_tournament_format_and_tiebreakers: bracket simulator with published format, clock, total-mark tiebreak, and opponent population priors",Timed competitions can make advancement probability the real objective.
ch10-tournament-speed-tradeoff,scoring objective,context-limited,active_phase4,t42-br7n.3,keep_open_under_phase4_3,bounded_by_generator_or_scope,central ledger evidence_artifacts; central ledger status/result: context-limited; phase4_scoring_objective_tests claim_summary; completion_board artifact routing,missing wall_clock_table_time: human table logs or calibrated per-trick/per-hand timing model,Marks speed tournaments through early termination and shorter matches.
ch12-natural-bid-bucket-anomaly,bidding risk,underpowered,phase3_context_limited,needs_new_bidding_count_exposure_bead,add_or_assign_bid_bucket_followup,bounded_by_generator_or_scope,phase4_bidding_count_exposure_tests claim_summary; completion_board artifact routing,full_policy_or_sequence_counterfactual_missing: Auction-aware bid/pass policy rollouts and/or sequence-state injection with make/set or E[Q] regret labels.,Natural bid buckets such as 30/31/35/36 can be validated from static exposed-count ceilings.
ch12-setter-pounce-high-bid-off,setter defense,underpowered,active_phase4,t42-br7n.1,keep_open_under_phase4_1,bounded_by_generator_or_scope,phase4_sequence_handshape_tests paired/blocker artifacts; completion_board artifact routing,"sequence/handshape blocker table: exact private hand, future lead, void-creation, bid-margin, or high-bid state fields may be needed for broad promotion",Opponent count pressure present versus absent
ch16-four-trump-boss-first-policy,four-trump tactics,underpowered,active_phase4,t42-br7n.1,keep_open_under_phase4_1,bounded_by_generator_or_scope,phase4_sequence_handshape_tests paired/blocker artifacts; completion_board artifact routing,"sequence/handshape blocker table: exact private hand, future lead, void-creation, bid-margin, or high-bid state fields may be needed for broad promotion",The exact four-trump odds imply the recommended first lead is strategically optimal.
ch16-partner-two-plus-doubles-prior,partner-help odds,context-limited,phase3_context_limited,needs_new_bidding_count_exposure_bead,add_or_assign_partner_prior_followup,bounded_by_generator_or_scope,central ledger evidence_artifacts; central ledger status/result: context-limited; phase4_bidding_count_exposure_tests claim_summary; completion_board artifact routing,full_policy_or_sequence_counterfactual_missing: Auction-aware bid/pass policy rollouts and/or sequence-state injection with make/set or E[Q] regret labels.,A random partner hand has a decent chance of containing at least two doubles.
