claim_id,family,current_status,claim,current_evidence_mode,current_readiness,testability_class,proposed_operational_label,operational_definition,primary_data_source,required_fields,leakage_risks,likely_blockers,estimated_sample_power_need,power_bucket,ready_for_powered_test,next_experiment_bead,target_wiki_page,completion_evidence,notes
ch02-risk-budget-threshold,count exposure,underpowered,A 12-or-fewer at-risk point total is sufficient to justify bidding.,exact static enumeration,enumeration; oracle,auction_or_bid_margin_data_needed,ch02_risk_budget_threshold,Compute unique exposed count points for each hand/declaration candidate. Next test: Run auction-aware make/set or forge E[Q] bidding counterfactuals.,w42/bidding_risk_budget_claim_validation/; future auction-aware E[Q] or rollout corpus,candidate trump; side-specific off exposure; duplicate count identities; double-ahead protection; bid amount; make/set or regret labels,Duplicate/off risk can be public-hand arithmetic; hidden holder and future capture are report labels only.,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.,Needs auction-aware outcome labels; target >=1000 candidate declarations split by exposure bucket and bid margin.,new_auction_data,needs_generation,t42-0b4l.5,wiki/experiments/w42-bidding-risk-budget-claim-validation.md,Auction-aware or paired bid-margin dataset with make/set or regret CIs by risk bucket and explicit separation of static hand strength from bid strategy.,Current ledger result: 24.477093% of candidates have <=12 exposed points; 66.971% of hands have a best static candidate with <=10 exposed points.
ch02-duplicate-count-exposure,count exposure,supported,Repeated side exposure can double-count the same count domino unless de-duplicated.,exact static enumeration,enumeration; report-only,static_substrate_fixture_plus_auction_followup,ch02_duplicate_count_exposure,Compare naive side-summed exposure with unique exposed count points. Next test: Keep as a regression fixture for risk-budget detectors.,w42/bidding_risk_budget_claim_validation/; future auction-aware E[Q] or rollout corpus,candidate trump; side-specific off exposure; duplicate count identities; double-ahead protection; bid amount; make/set or regret labels,Duplicate/off risk can be public-hand arithmetic; hidden holder and future capture are report labels only.,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.,Needs auction-aware outcome labels; target >=1000 candidate declarations split by exposure bucket and bid margin.,new_auction_data,fixture_only,t42-0b4l.5,wiki/experiments/w42-bidding-risk-budget-claim-validation.md,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",Current ledger result: 86.353972% of candidate evaluations and 97.963836% of hands have duplicate exposure under at least one candidate declaration.
ch02-strong-trump-bad-risk-trap,count exposure,context-limited,Strong-looking trump shape can still exceed the beginner risk budget because of offs.,exact static enumeration,enumeration; oracle,auction_or_bid_margin_data_needed,ch02_strong_trump_bad_risk_trap,"Flag candidate declarations with >=4 trumps and >12 unique exposed count points. Next test: Split by actual declared suit, auction pressure, and E[Q] outcome.",w42/bidding_risk_budget_claim_validation/; future auction-aware E[Q] or rollout corpus,candidate trump; side-specific off exposure; duplicate count identities; double-ahead protection; bid amount; make/set or regret labels,Duplicate/off risk can be public-hand arithmetic; hidden holder and future capture are report labels only.,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.,Needs auction-aware outcome labels; target >=1000 candidate declarations split by exposure bucket and bid margin.,new_auction_data,needs_generation,t42-0b4l.5,wiki/experiments/w42-bidding-risk-budget-claim-validation.md,Auction-aware or paired bid-margin dataset with make/set or regret CIs by risk bucket and explicit separation of static hand strength from bid strategy.,Current ledger result: 2.927266% of candidates and 20.120773% of hands have such a candidate.
ch02-four-five-off-danger,count exposure,context-limited,Four and five offs create high count-exposure risk.,exact static enumeration,enumeration; oracle,auction_or_bid_margin_data_needed,ch02_four_five_off_danger,Detect candidate declarations with a 5-4 off or equivalent high count exposure. Next test: Run paired bidding/play outcomes for high-off exposure buckets.,w42/bidding_risk_budget_claim_validation/; future auction-aware E[Q] or rollout corpus,candidate trump; side-specific off exposure; duplicate count identities; double-ahead protection; bid amount; make/set or regret labels,Duplicate/off risk can be public-hand arithmetic; hidden holder and future capture are report labels only.,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.,Needs auction-aware outcome labels; target >=1000 candidate declarations split by exposure bucket and bid margin.,new_auction_data,needs_generation,t42-0b4l.5,wiki/experiments/w42-bidding-risk-budget-claim-validation.md,Auction-aware or paired bid-margin dataset with make/set or regret CIs by risk bucket and explicit separation of static hand strength from bid strategy.,Current ledger result: 17.857143% of candidate evaluations and 25.0% of hands expose a 5-4-off proxy.
ch12-natural-bid-bucket-anomaly,bidding risk,underpowered,Natural bid buckets such as 30/31/35/36 can be validated from static exposed-count ceilings.,static proxy limitation,oracle; w42,auction_or_bid_margin_data_needed,ch12_natural_bid_bucket_anomaly,Compute bid ceiling as 42 minus unique exposed count points. Next test: Use generated auction logs or paired bidding rollouts.,w42/bidding_risk_budget_claim_validation/; future auction/bid-margin corpus,auction history; bid amount; bid margin; candidate declaration; score; hand exposure; make/set outcome or per-bid E[Q],"Do not feed make/set outcome, true hidden partner help, or per-bid oracle result as a live bidding feature.",Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.,Needs auction/bid-margin corpus; target multi-seed bid candidates with >=1000 make/set labels per bid-margin bucket.,new_auction_data,needs_generation,t42-0b4l.5,wiki/experiments/w42-bidding-risk-budget-claim-validation.md,Auction-aware or paired bid-margin dataset with make/set or regret CIs by risk bucket and explicit separation of static hand strength from bid strategy.,"Current ledger result: The static proxy emits only these ceiling values: 12, 17, 22, 27, 32, 37, 42."
ch02-double-side-protection,count exposure,context-limited,"A double ahead of an off reduces risk, but only for the protected side of the off.",exact static enumeration,enumeration; oracle,auction_or_bid_margin_data_needed,ch02_double_side_protection,Count side-specific exposed points that are protected by a same-pip double. Next test: Add action-sequence and follow-pressure labels.,w42/bidding_risk_budget_claim_validation/; future auction-aware E[Q] or rollout corpus,candidate trump; side-specific off exposure; duplicate count identities; double-ahead protection; bid amount; make/set or regret labels,Duplicate/off risk can be public-hand arithmetic; hidden holder and future capture are report labels only.,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.,Needs auction-aware outcome labels; target >=1000 candidate declarations split by exposure bucket and bid margin.,new_auction_data,needs_generation,t42-0b4l.5,wiki/experiments/w42-bidding-risk-budget-claim-validation.md,Auction-aware or paired bid-margin dataset with make/set or regret CIs by risk bucket and explicit separation of static hand strength from bid strategy.,Current ledger result: 17.751479% of side-exposure points are protected by a same-pip double.
ch02-bid-only-enough,bidding risk,not-yet-tested,A bidder should bid only enough to win because excess bid amount only increases set risk.,not yet measured,oracle; w42; burl,auction_or_bid_margin_data_needed,ch02_bid_only_enough,Requires auction counterfactuals comparing unnecessary bid margin with set rate and regret. Next test: Generate auction logs or paired bid-margin E[Q] rollouts.,w42/bidding_risk_budget_claim_validation/; future auction/bid-margin corpus,auction history; bid amount; bid margin; candidate declaration; score; hand exposure; make/set outcome or per-bid E[Q],"Do not feed make/set outcome, true hidden partner help, or per-bid oracle result as a live bidding feature.",Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.,Needs auction/bid-margin corpus; target multi-seed bid candidates with >=1000 make/set labels per bid-margin bucket.,new_auction_data,needs_generation,t42-0b4l.5,wiki/experiments/w42-bidding-risk-budget-claim-validation.md,Auction-aware or paired bid-margin dataset with make/set or regret CIs by risk bucket and explicit separation of static hand strength from bid strategy.,Current ledger result: No auction-counterfactual artifact exists in the current w42 outputs.
ch09-doubles-trump-doubles-leave-native-suits,doubles/no-trump rules,supported,Under doubles-as-trump all doubles are called suit and non-doubles are not.,deterministic ruleset predicate,ruleset; report-only,deterministic_ruleset_fixture,ch09_doubles_trump_doubles_leave_native_suits,Ruleset fixture check from the doubles/no-trump validation script. Next test: Keep as a regression fixture and add paired declaration rollouts for strategy choices.,w42/doubles_no_trump_claim_validation/; ruleset code fixtures,ruleset declaration; suit-membership and follow-suit predicates; legal action fixtures,No leakage for ruleset fixtures; strategy tests still need public-only features.,No blocker for fixture use; blocker only applies if promoted into policy advice.,Rules are deterministic fixtures; tactical claims need paired regime data as above.,fixture_then_regime_data,fixture_only,t42-0b4l.8,wiki/experiments/w42-doubles-no-trump-claim-validation.md,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",Current ledger result: 28 / 28 predicate cases passed; doubles become the called suit under declaration id 7.
ch09-doubles-trump-follow-suit-removal,doubles/no-trump rules,supported,A native double cannot follow its old pip suit after doubles are trump.,deterministic ruleset predicate,ruleset; report-only,deterministic_ruleset_fixture,ch09_doubles_trump_follow_suit_removal,Ruleset fixture check from the doubles/no-trump validation script. Next test: Keep as a regression fixture and add paired declaration rollouts for strategy choices.,w42/doubles_no_trump_claim_validation/; ruleset code fixtures,ruleset declaration; suit-membership and follow-suit predicates; legal action fixtures,No leakage for ruleset fixtures; strategy tests still need public-only features.,No blocker for fixture use; blocker only applies if promoted into policy advice.,Rules are deterministic fixtures; tactical claims need paired regime data as above.,fixture_then_regime_data,fixture_only,t42-0b4l.8,wiki/experiments/w42-doubles-no-trump-claim-validation.md,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.","Current ledger result: 7 / 7 predicate cases passed; double-pip tiles are callable trump only, not native-suit followers."
ch09-no-trump-doubles-remain-native-tops,doubles/no-trump rules,supported,"Under no-trump, doubles remain in native suits and outrank non-doubles in that suit.",deterministic ruleset predicate,ruleset; report-only,deterministic_ruleset_fixture,ch09_no_trump_doubles_remain_native_tops,Ruleset fixture check from the doubles/no-trump validation script. Next test: Keep as a regression fixture and add paired declaration rollouts for strategy choices.,w42/doubles_no_trump_claim_validation/; ruleset code fixtures,ruleset declaration; suit-membership and follow-suit predicates; legal action fixtures,No leakage for ruleset fixtures; strategy tests still need public-only features.,No blocker for fixture use; blocker only applies if promoted into policy advice.,Rules are deterministic fixtures; tactical claims need paired regime data as above.,fixture_then_regime_data,fixture_only,t42-0b4l.8,wiki/experiments/w42-doubles-no-trump-claim-validation.md,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",Current ledger result: 7 / 7 predicate cases passed; standard no-trump keeps doubles as suit tops.
ch09-dual-suit-top-protection,doubles/no-trump rules,supported,Some non-doubles become top tiles in both native suits once doubles leave native suits.,deterministic ruleset predicate,ruleset; report-only,deterministic_ruleset_fixture,ch09_dual_suit_top_protection,Ruleset fixture check from the doubles/no-trump validation script. Next test: Keep as a regression fixture and add paired declaration rollouts for strategy choices.,w42/doubles_no_trump_claim_validation/; ruleset code fixtures,ruleset declaration; suit-membership and follow-suit predicates; legal action fixtures,No leakage for ruleset fixtures; strategy tests still need public-only features.,No blocker for fixture use; blocker only applies if promoted into policy advice.,Rules are deterministic fixtures; tactical claims need paired regime data as above.,fixture_then_regime_data,fixture_only,t42-0b4l.8,wiki/experiments/w42-doubles-no-trump-claim-validation.md,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",Current ledger result: 1 / 1 predicate cases passed; dual-top non-doubles=6-5.
ch09-no-trump-separate-doubles-suit-variant,doubles/no-trump rules,supported,"No-trump with doubles as a separate suit is a non-standard variant gate, not standard no-trump.",deterministic ruleset predicate,ruleset; report-only,deterministic_ruleset_fixture,ch09_no_trump_separate_doubles_suit_variant,Ruleset fixture check from the doubles/no-trump validation script. Next test: Keep as a regression fixture and add paired declaration rollouts for strategy choices.,w42/doubles_no_trump_claim_validation/; ruleset code fixtures,ruleset declaration; suit-membership and follow-suit predicates; legal action fixtures,No leakage for ruleset fixtures; strategy tests still need public-only features.,No blocker for fixture use; blocker only applies if promoted into policy advice.,Rules are deterministic fixtures; tactical claims need paired regime data as above.,fixture_then_regime_data,fixture_only,t42-0b4l.8,wiki/experiments/w42-doubles-no-trump-claim-validation.md,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.","Current ledger result: 1 / 1 predicate cases passed; engine declaration ids: doubles-trump=7, doubles-suit variant=8, no-trump=9."
ch09-doubles-trump-candidate-4plus,doubles/no-trump odds,context-limited,Four-plus doubles are a measurable candidate gate for doubles-as-trump hands.,exact static enumeration,enumeration; oracle,static_regime_substrate_needs_paired_regime_rollout,ch09_doubles_trump_candidate_4plus,Exact hand-slice count from all seven-domino hands. Next test: Run paired doubles-trump versus no-trump rollouts.,w42/doubles_no_trump_claim_validation/; w42/branch_atlas_scaled_v0/,hand doubles; declaration regime; candidate regime alternatives; legal actions; paired regime rollout or E[Q] labels,Regime choice tests must not use counterfactual outcomes as features.,"Ruleset facts exist, but declaration choice and tactical play need paired regime rollouts.",Generate paired doubles-trump/no-trump regime decisions; target >=1000 candidate regime states and declaration-specific CIs.,new_regime_data,needs_regime_generation,t42-0b4l.8,wiki/experiments/w42-doubles-no-trump-claim-validation.md,Paired doubles-trump/no-trump declaration or play rollouts with regime-specific slices and legal-rule fixtures unchanged.,"Current ledger result: 51108 / 1184040 = 4.316408%; Four-plus doubles are rare enough to be a candidate gate, not a strategy verdict."
ch09-no-trump-support-proxy,doubles/no-trump odds,underpowered,No-trump support can be approximated by static double/off support buckets.,exact static enumeration,enumeration; oracle,static_regime_substrate_needs_paired_regime_rollout,ch09_no_trump_support_proxy,Exact hand-slice count from all seven-domino hands. Next test: Run paired doubles-trump versus no-trump rollouts.,w42/doubles_no_trump_claim_validation/; w42/branch_atlas_scaled_v0/,hand doubles; declaration regime; candidate regime alternatives; legal actions; paired regime rollout or E[Q] labels,Regime choice tests must not use counterfactual outcomes as features.,"Ruleset facts exist, but declaration choice and tactical play need paired regime rollouts.",Generate paired doubles-trump/no-trump regime decisions; target >=1000 candidate regime states and declaration-specific CIs.,new_regime_data,needs_regime_generation,t42-0b4l.8,wiki/experiments/w42-doubles-no-trump-claim-validation.md,Paired doubles-trump/no-trump declaration or play rollouts with regime-specific slices and legal-rule fixtures unchanged.,Current ledger result: 527559 / 1184040 = 44.555843%; Static proxy for no-trump support doubles; needs oracle rollout for strategy status.
ch09-regime-switch-proxy-nt-over-dt,doubles/no-trump odds,underpowered,Some four-plus-double hands are plausible no-trump-over-doubles-trump switch candidates.,exact static enumeration,enumeration; oracle,static_regime_substrate_needs_paired_regime_rollout,ch09_regime_switch_proxy_nt_over_dt,Exact hand-slice count from all seven-domino hands. Next test: Run paired doubles-trump versus no-trump rollouts.,w42/doubles_no_trump_claim_validation/; w42/branch_atlas_scaled_v0/,hand doubles; declaration regime; candidate regime alternatives; legal actions; paired regime rollout or E[Q] labels,Regime choice tests must not use counterfactual outcomes as features.,"Ruleset facts exist, but declaration choice and tactical play need paired regime rollouts.",Generate paired doubles-trump/no-trump regime decisions; target >=1000 candidate regime states and declaration-specific CIs.,new_regime_data,needs_regime_generation,t42-0b4l.8,wiki/experiments/w42-doubles-no-trump-claim-validation.md,Paired doubles-trump/no-trump declaration or play rollouts with regime-specific slices and legal-rule fixtures unchanged.,"Current ledger result: 21884 / 51108 = 42.819128%; Candidate same-hand regime-switch bucket: 4+ doubles, weak high-double coverage, and no-trump support proxy."
ch09-five-doubles-opponent-void-prior,doubles/no-trump odds,supported,"With five doubles as trumps and only two missing doubles, it is roughly 80% likely that at least one opponent cannot follow doubles.",exact conditional arithmetic,enumeration; report-only,static_regime_substrate_needs_paired_regime_rollout,ch09_five_doubles_opponent_void_prior,"Assign the two missing doubles uniformly over 21 unknown slots: partner 7, each opponent 7. Next test: Add paired declaration/play rollouts for the sample hand class.",w42/doubles_no_trump_claim_validation/; w42/branch_atlas_scaled_v0/,hand doubles; declaration regime; candidate regime alternatives; legal actions; paired regime rollout or E[Q] labels,Regime choice tests must not use counterfactual outcomes as features.,"Ruleset facts exist, but declaration choice and tactical play need paired regime rollouts.",Generate paired doubles-trump/no-trump regime decisions; target >=1000 candidate regime states and declaration-specific CIs.,new_regime_data,needs_regime_generation,t42-0b4l.8,wiki/experiments/w42-doubles-no-trump-claim-validation.md,Paired doubles-trump/no-trump declaration or play rollouts with regime-specific slices and legal-rule fixtures unchanged.,Current ledger result: 161 / 210 = 76.667%.
ch10-score-mode-objective,scoring objective,supported,Marks change the scoring objective from captured hand points to hand-level make/set marks.,deterministic scoring transform,enumeration; ruleset; report-only,deterministic_objective_fixture,ch10_score_mode_objective,"Terminal utility transform and point-vs-mark break-even comparison. Next test: Use policy-population or tournament simulation for claims about skill, speed, or advancement.",w42/scoring_objective_drift_claim_validation/; future tournament simulation,"terminal hand points; bid/contract; mark transform; match/tournament schedule for skill, speed, or advancement claims","Terminal and tournament outcomes are evaluation labels, not decision-time features.",No blocker for fixture use; blocker only applies if promoted into policy advice.,Deterministic transforms are complete; skill/speed/advancement claims need policy-population tournament simulation with match-level CIs.,simulation_needed,fixture_only,t42-0b4l.10; future tournament-simulation bead,wiki/experiments/w42-scoring-objective-drift-claim-validation.md,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",Current ledger result: See scoring transform tables; caveat: Deterministic scoring algebra supports objective drift; policy optimality still needs oracle rollouts.
ch10-early-terminal-under-marks,scoring objective,supported,Marks create early terminal states once an ordinary contract is already made or impossible.,deterministic scoring transform,enumeration; ruleset; report-only,deterministic_objective_fixture,ch10_early_terminal_under_marks,"Exhaustive arithmetic over captured points and remaining count. Next test: Use policy-population or tournament simulation for claims about skill, speed, or advancement.",w42/scoring_objective_drift_claim_validation/; future tournament simulation,"terminal hand points; bid/contract; mark transform; match/tournament schedule for skill, speed, or advancement claims","Terminal and tournament outcomes are evaluation labels, not decision-time features.",No blocker for fixture use; blocker only applies if promoted into policy advice.,Deterministic transforms are complete; skill/speed/advancement claims need policy-population tournament simulation with match-level CIs.,simulation_needed,fixture_only,t42-0b4l.10; future tournament-simulation bead,wiki/experiments/w42-scoring-objective-drift-claim-validation.md,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",Current ledger result: See scoring transform tables; caveat: Terminal detector ignores legal trick paths; it only proves the arithmetic condition.
